"Jahr","Sprache","AnzBev","AntBev","untAnzBevKI","obAnzBevKI","untAntBevKI","obAntBevKI"
1960,"Französisch",12226,2.8,,,,
1960,"Rätoromanisch",2560,0.6,,,,
1960,"andSprachen",9434,2.1,,,,
1950,"Deutsch",355471,91.1,,,,
1950,"Italienisch",15121,3.9,,,,
1950,"Französisch",12063,3.1,,,,
1950,"Rätoromanisch",2057,0.5,,,,
1950,"andSprachen",5308,1.4,,,,
1941,"Deutsch",311725,92.7,,,,
1941,"Italienisch",10079,3,,,,
1941,"Französisch",9858,2.9,,,,
1941,"Rätoromanisch",1680,0.5,,,,
1941,"andSprachen",3053,0.9,,,,
1930,"Deutsch",268737,92.4,,,,
1930,"Italienisch",10639,3.7,,,,
1930,"Französisch",7163,2.5,,,,
1930,"Rätoromanisch",1208,0.4,,,,
1930,"andSprachen",3190,1.1,,,,
1920,"Deutsch",217433,92.6,,,,
1920,"Italienisch",8154,3.5,,,,
1920,"Französisch",4949,2.1,,,,
1920,"Rätoromanisch",641,0.3,,,,
1920,"andSprachen",3631,1.5,,,,
1910,"Deutsch",195371,90.7,,,,
1910,"Italienisch",11861,5.5,,,,
1910,"Französisch",3752,1.7,,,,
1910,"Rätoromanisch",450,0.2,,,,
1910,"andSprachen",4054,1.9,,,,
1900,"Deutsch",157554,93.8,,,,
1900,"Italienisch",5443,3.2,,,,
1900,"Französisch",2745,1.6,,,,
1900,"Rätoromanisch",448,0.3,,,,
1900,"andSprachen",1831,1.1,,,,
1888,"Deutsch",100125,96.4,,,,
1888,"Italienisch",1166,1.1,,,,
1888,"Französisch",1383,1.3,,,,
1888,"Rätoromanisch",152,0.1,,,,
1888,"andSprachen",1036,1,,,,
1880,"Deutsch",85429,97.2,,,,
1880,"Italienisch",707,0.8,,,,
1880,"Französisch",978,1.1,,,,
1880,"Rätoromanisch",84,0.1,,,,
1880,"andSprachen",658,0.7,,,,
1870,"Deutsch",65797,99.4,,,,
1870,"Italienisch",52,0.1,,,,
1870,"Französisch",278,0.4,,,,
1870,"Rätoromanisch",40,0.1,,,,
1870,"andSprachen",34,0.1,,,,
1860,"Deutsch",51396,99.6,,,,
1860,"Italienisch",31,0.1,,,,
1860,"Französisch",147,0.3,,,,
1860,"Rätoromanisch",,,,,,
1860,"andSprachen",42,0.1,,,,
