OGD_ID,LOK_NR,LOK_TEXT,LOK_STATUS,LOK_ART,LOK_GEOMETRIE
LOKALISATION_74,407,Dreikönigstrasse,1,1,POINT (8.53671532 47.36711837)
LOKALISATION_75,360,Claridenstrasse,1,1,POINT (8.53761894 47.36702594)
LOKALISATION_76,1521,Parkring,1,1,POINT (8.52953248 47.36746958)
LOKALISATION_77,645,General-Wille-Strasse,1,1,POINT (8.53261094 47.36353032)
LOKALISATION_78,2051,Tunnelstrasse,1,1,POINT (8.53193439 47.36607990)
LOKALISATION_79,698,Gotthardstrasse,1,1,POINT (8.53647249 47.36590196)
LOKALISATION_80,2030,Tödistrasse,1,1,POINT (8.53533270 47.36530917)
LOKALISATION_81,184,Beethovenstrasse,1,1,POINT (8.53516987 47.36836500)
LOKALISATION_82,1858,Sihlpromenade,1,1,POINT (8.52671242 47.36750503)
LOKALISATION_83,2319,Pfadiweg,1,1,POINT (8.59856315 47.35159111)
LOKALISATION_84,182,Bederstrasse,1,1,POINT (8.52448272 47.36074729)
LOKALISATION_85,1592,Regina-Kägi-Strasse,1,1,POINT (8.53320318 47.41289900)
LOKALISATION_86,1637,Robert-Maillart-Strasse,1,1,POINT (8.53208021 47.41416261)
LOKALISATION_87,1487,Oerlikerpark,1,2,POINT (8.53725847 47.41461303)
LOKALISATION_88,2328,Kurt-Hirschfeld-Weg,1,1,POINT (8.54030538 47.41098377)
LOKALISATION_89,2329,Emil-Oprecht-Strasse,1,1,POINT (8.54092646 47.41251306)
LOKALISATION_90,2330,Emil-Oprecht-Platz,1,2,POINT (8.54173507 47.41160934)
LOKALISATION_91,1628,Rieterplatz,1,2,POINT (8.52666386 47.35643318)
LOKALISATION_92,935,Hügelstrasse,1,1,POINT (8.52544679 47.35756254)
LOKALISATION_93,2165,Weltistrasse,1,1,POINT (8.52643251 47.35980664)
LOKALISATION_94,427,Effingerstrasse,1,1,POINT (8.52674584 47.35346790)
LOKALISATION_95,1661,Rossbergstrasse,1,1,POINT (8.52771634 47.35399562)
LOKALISATION_96,1862,Sihlrainstrasse,1,1,POINT (8.52552069 47.35373474)
LOKALISATION_97,473,Engimattstrasse,1,1,POINT (8.52503046 47.35937343)
LOKALISATION_98,1583,Rebhaldenstrasse,1,1,POINT (8.52850346 47.35927029)
LOKALISATION_99,1031,Joachim-Hefti-Weg,1,1,POINT (8.52919216 47.35960645)
LOKALISATION_100,776,Hans-Huber-Strasse,1,1,POINT (8.53021635 47.35347679)
LOKALISATION_101,547,Florhofgasse,1,1,POINT (8.54813501 47.37182260)
LOKALISATION_102,1056,Kantonsschulstrasse,1,1,POINT (8.54870995 47.37134724)
LOKALISATION_103,1332,Marktplatz Oerlikon,1,2,POINT (8.54447494 47.41032395)
LOKALISATION_104,1562,Querstrasse,1,1,POINT (8.54485371 47.40979604)
LOKALISATION_105,566,Franklinplatz,1,2,POINT (8.54392150 47.40972987)
LOKALISATION_106,425,Edisonstrasse,1,1,POINT (8.54477001 47.41044617)
LOKALISATION_107,2164,Welchogasse,1,1,POINT (8.54571374 47.40935238)
LOKALISATION_108,2140,Wattstrasse,1,1,POINT (8.54540014 47.41322067)
LOKALISATION_109,1552,Predigergasse,1,1,POINT (8.54604129 47.37335101)
LOKALISATION_110,1553,Predigerplatz,1,2,POINT (8.54567375 47.37375065)
LOKALISATION_111,1070,Karl-Schmid-Strasse,1,1,POINT (8.54820154 47.37555835)
LOKALISATION_112,1744,Schienhutgasse,1,1,POINT (8.54617959 47.37517087)
LOKALISATION_113,1179,Künstlergasse,1,1,POINT (8.54760599 47.37479615)
LOKALISATION_114,1844,Sempersteig,1,1,POINT (8.54690857 47.37403819)
LOKALISATION_115,2004,Tannenstrasse,1,1,POINT (8.54738922 47.37720357)
LOKALISATION_116,1431,Napfgasse,1,1,POINT (8.54444357 47.37162006)
LOKALISATION_117,1572,Rathausbrücke,1,1,POINT (8.54214609 47.37175904)
LOKALISATION_118,1427,Nägelihof,1,1,POINT (8.54373154 47.37091186)
LOKALISATION_119,1680,Rudolf-Brun-Brücke,1,1,POINT (8.54221412 47.37439174)
LOKALISATION_120,393,Doktor-Faust-Gasse,1,1,POINT (8.54868088 47.37419543)
LOKALISATION_121,189,Bellevueplatz,1,2,POINT (8.54507361 47.36699032)
LOKALISATION_122,1414,Münsterbrücke,1,1,POINT (8.54239795 47.36992817)
LOKALISATION_123,1450,Neustadtgasse,1,1,POINT (8.54509287 47.36992574)
LOKALISATION_124,1711,Salvatorstrasse,1,1,POINT (8.55188428 47.40570415)
LOKALISATION_125,1418,Murhaldenweg,1,1,POINT (8.55474906 47.40145807)
LOKALISATION_126,1571,Rässlerweg,1,1,POINT (8.55207620 47.40368749)
LOKALISATION_127,885,Hofhölzliweg,1,1,POINT (8.52668216 47.41018670)
LOKALISATION_128,2309,Hugo-Koblet-Weg,1,1,POINT (8.55429596 47.41131629)
LOKALISATION_129,1894,Spielwiesenstrasse,1,1,POINT (8.54289140 47.40722250)
LOKALISATION_130,1103,Kirchenackerweg,1,1,POINT (8.55370858 47.41002009)
LOKALISATION_131,14,Aehrenweg,1,1,POINT (8.53380032 47.40921683)
LOKALISATION_132,1176,Kühriedweg,1,1,POINT (8.55588316 47.40945825)
LOKALISATION_133,1502,Oscar-Bonomo-Weg,1,1,POINT (8.55252264 47.41241888)
LOKALISATION_134,1028,James-Joyce-Strasse,1,1,POINT (8.54056824 47.41224105)
